UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Estado de Obra;Porcentaje de avance;LPN Nº;Fecha de Inicio;Fecha de recepcion definitiva;Nivel;;;;;;;;;;;
21 J;;;CAAGUAZU;Vaqueria;;Asentamiento: 12 de Octubre 3° Fase;FONAVIS;15;ABOG. VERONICA NATALIA OJEDA CASTELLI;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Cnel. Oviedo;Com. Direct. del Asent. 24 de Julio - San Luis;FONAVIS;80;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;G.O. Territorio Social Villa Elsa;FONAVIS;37;SR. FREDDY DIOSNEL ROLON FIGUEREDO;En Ejecución;;;06/01/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Raul Arsenio Oviedo;;Com. Mby'a Guaraní Y'akareta;FONAVIS;25;CEDES / HABITAT;En Ejecución;;;26/12/13;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Raul Arsenio Oviedo;Nueva toledo;G.O. Com. Mby'a Guaraní Yvu 2° Fase;FONAVIS;26;CEDES / HABITAT;En Ejecución;;;26/12/13;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Asent. La Gloria;Com. Directiva La Gloria I -  2° Fase;FONAVIS;31;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;17/02/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Jose Domingo Ocampos;Arsenio Báez;Arsenio Báez;CEPRA;70;Consorcio Canindeyú;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Raul Arsenio Oviedo;Che Mendá;Che Mendá;CEPRA;60;Consorcio Canindeyú;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Carayao;Mariano Diaz;Mariano Diaz;CEPRA;42;RNV Hierros S.A.;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;Ñande maitei;Ñande maitei;CEPRA;118;Deposito de Mat. San Cristobal;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Repatriacion;Juliana Fleitas;Juliana Fleitas;CEPRA;70;Deposito Mat. San Cristobal;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;3 de Mayo;3 de Mayo;CEPRA;113;Central Construcciones;En Ejecución;;006/12;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;La Esperanza;La Esperanza;CEPRA;12;Deposito San Cristobal;En Ejecución;;006/12;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;Asentamiento Bonanza;FONAVIS;20;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;24/02/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Repatriacion;;G.O.Com.Vivienda la Paloma I;FONAVIS;24;NATANAEL CADOGAN DUARTE;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;G.O.Asoc. Mult.p/Des.Integral Común - Yuquyty;FONAVIS;53;COEMPRO S.A.;En Ejecución;;;;;4;;;;;;;;;;;
